Theater_ID,Period,Technology_Level,Digital_Systems_Implemented,Staff_Training_Complete,CRM_Integration_Percentage
1,Pre-Implementation,Outdated,7,0,0
1,Implementation,Upgrading,68,58,68
1,Post-Implementation,Modern,95,92,88
2,Pre-Implementation,Outdated,2,0,0
2,Implementation,Upgrading,65,49,36
2,Post-Implementation,Modern,99,96,92
3,Pre-Implementation,Outdated,10,4,0
3,Implementation,Upgrading,66,55,66
3,Post-Implementation,Modern,87,93,82
4,Pre-Implementation,Outdated,0,3,0
4,Implementation,Upgrading,54,55,26
4,Post-Implementation,Modern,98,93,88
5,Pre-Implementation,Outdated,0,3,0
5,Implementation,Upgrading,35,60,35
5,Post-Implementation,Modern,94,93,93
6,Pre-Implementation,Outdated,3,1,0
6,Implementation,Upgrading,49,46,36
6,Post-Implementation,Modern,88,94,94
7,Pre-Implementation,Outdated,0,2,0
7,Implementation,Upgrading,53,57,59
7,Post-Implementation,Modern,91,91,86
